ÁöÁ¡,ÀÏ½Ã,Æò±Õ Ç³¼Ó(m/s),Æò±Õ ±â¿Â(¡ÆC),Æò±Õ ¼ö¿Â(¡ÆC)
21229,2016-09-11,5.3,23.3,23.7
21229,2016-09-12,5.8,22.5,23.8
21229,2016-09-13,4.7,22.6,23.7
21229,2016-09-14,1.8,22.5,23.8
21229,2016-09-15,2.1,22.8,24.3
21229,2016-09-16,4.6,23.6,24.4
21229,2016-09-17,6,22,24.2
21229,2016-09-18,9.2,22.2,23.9
21229,2016-09-19,9.9,21.2,23.6
21229,2016-09-20,9.9,20.9,23.3
21229,2016-09-21,5.8,21.6,23.2
21229,2016-09-22,4.2,21.5,23
21229,2016-09-23,2.5,21.4,23
21229,2016-09-24,3.1,21.7,23
21229,2016-09-25,3.4,22.2,22.8
21229,2016-09-26,3,22.8,23
21229,2016-09-27,1.7,22.8,23.1
21229,2016-09-28,6,21.2,22.9
21229,2016-09-29,6.6,18.9,22.6
21229,2016-09-30,2.6,19.7,22.7
21229,2016-10-01,2.5,20.9,22.6
21229,2016-10-02,3.4,22,22.7
21229,2016-10-03,5.4,22.2,22.6
21229,2016-10-04,7.1,20.6,22.5
21229,2016-10-05,9.5,20,22.4
21229,2016-10-06,5.1,19.5,22.4
21229,2016-10-07,7.3,19.7,22.1
21229,2016-10-08,6.4,20.7,22
21229,2016-10-09,8.4,16.5,22
21229,2016-10-10,2.8,16.6,21.8
21229,2016-10-11,4.3,18.9,21.9
21229,2016-10-12,7.1,17.3,21.9
21229,2016-10-13,5.5,17.9,21.9
21229,2016-10-14,4.3,20,22.1
21229,2016-10-15,3,20.1,22.6
21229,2016-10-16,6.7,20,22.2
21229,2016-10-17,3.8,20.8,21.6
21229,2016-10-18,4,19.4,21.5
21229,2016-10-19,2.8,19.8,21.6
21229,2016-10-20,8.6,17.8,21.5
21229,2016-10-21,6.4,15.5,21.3
21229,2016-10-22,4.2,17.3,21.3
21229,2016-10-23,9.8,14,21.1
21229,2016-10-24,4.5,15.4,20.9
21229,2016-10-25,10.5,18.6,20.8
21229,2016-10-26,4,18.2,20.8
21229,2016-10-27,5.5,15.9,20.7
21229,2016-10-28,7.5,16.7,20.5
21229,2016-10-29,7,13.1,20.5
21229,2016-10-30,5.1,14.4,20.4
21229,2016-10-31,6.1,15.2,20.2
21229,2016-11-01,8.9,10.6,20
21229,2016-11-02,6.7,11.2,19.8
21229,2016-11-03,7.9,13.3,19.7
21229,2016-11-04,7.6,16.3,19.5
21229,2016-11-05,9.5,16.4,19.4
21229,2016-11-06,9.7,10.6,19.2
21229,2016-11-07,6.9,14,19
21229,2016-11-08,10.4,11,18.5
21229,2016-11-09,6.9,7.9,18.5
21229,2016-11-10,6.8,11.6,18.7
21229,2016-11-11,7.2,14.6,18.5
21229,2016-11-12,6.4,16.4,18.3
21229,2016-11-13,5.3,17.5,18.1
21229,2016-11-14,6.6,18.1,18.1
21229,2016-11-15,8.4,12.2,18
21229,2016-11-16,5.9,13.2,17.8
21229,2016-11-17,3.6,13.8,17.9
21229,2016-11-18,6.4,16.5,17.9
21229,2016-11-19,3.9,16.1,18
21229,2016-11-20,6.4,14.3,18.1
21229,2016-11-21,4,15,18.4
21229,2016-11-22,10.1,9.5,18.4
21229,2016-11-23,8.7,6.9,18.1
21229,2016-11-24,8.2,7.4,17.7
21229,2016-11-25,7.5,8.6,17.9
21229,2016-11-26,5.4,10.5,18.4
21229,2016-11-27,6.5,11.3,17.6
21229,2016-11-28,6.8,9.4,17
21229,2016-11-29,8.2,8.6,17.1
21229,2016-11-30,8.4,10.9,17.1
21229,2016-12-01,10.5,11.8,16.6
21229,2016-12-02,5.2,11.3,16.3
21229,2016-12-03,4.4,14.1,16.3
21229,2016-12-04,7.4,15.5,16.3
21229,2016-12-05,7.3,14.1,16.4
21229,2016-12-06,7.7,6.6,16.2
21229,2016-12-07,7.2,9.6,16.3
21229,2016-12-08,7.1,10,16.2
21229,2016-12-09,11.1,9.5,16.1
21229,2016-12-10,6.3,5.5,16.2
21229,2016-12-11,5.2,6.8,15.7
21229,2016-12-12,6.3,11.6,15.5
21229,2016-12-13,8.2,10.5,15.6
21229,2016-12-14,11.2,3.5,15.5
21229,2016-12-15,8.5,3.2,15.4
21229,2016-12-16,7.5,5.1,15.7
21229,2016-12-17,5.7,9.8,15.4
21229,2016-12-18,4,12.2,15.8
21229,2016-12-19,3.8,13.2,
21229,2016-12-20,5,13,15.3
21229,2016-12-21,5.2,13.3,15.1
21229,2016-12-22,11.6,13.8,15.3
21229,2016-12-23,7.6,6.6,15.2
21229,2016-12-24,7.3,6.2,15.1
21229,2016-12-25,6.6,9.8,15.2
21229,2016-12-26,7.5,11.4,15.6
21229,2016-12-27,12.5,4.3,15.6
21229,2016-12-28,7,4.7,15.4
21229,2016-12-29,10.2,5.3,15.3
21229,2016-12-30,6.6,6.6,15.4
21229,2016-12-31,5.7,8.4,15.1
21229,2017-01-01,4.6,10.2,14.9
21229,2017-01-02,5.6,11.9,14.9
21229,2017-01-03,7.5,10.3,15
21229,2017-01-04,7.7,9.1,15
21229,2017-01-05,9,5.3,14.9
21229,2017-01-06,2.4,6,14.9
21229,2017-01-08,5.5,10.3,14.9
21229,2017-01-09,7.4,8.7,14.9
21229,2017-01-10,10,6.5,14.9
21229,2017-01-11,11,3.9,14.7
21229,2017-01-12,10.9,6,14.6
21229,2017-01-13,13.3,3,14.4
21229,2017-01-14,14.7,-1.2,14.2
21229,2017-01-15,11.4,3.3,14.1
21229,2017-01-16,10.9,4.4,14
21229,2017-01-17,4.4,6,13.9
21229,2017-01-18,8.5,7.7,14
21229,2017-01-19,3.2,6.8,13.9
21229,2017-01-20,11.1,4.8,13.8
21229,2017-01-21,6.6,3.9,13.7
21229,2017-01-22,10.6,1.9,13.6
21229,2017-01-23,8.1,.2,13.5
21229,2017-01-24,7.9,1.7,13.1
21229,2017-01-25,2.2,4.8,13.6
21229,2017-01-26,8.4,8.1,12.7
21229,2017-01-27,10.2,7.2,11.5
21229,2017-01-28,2.3,6.5,12.6
21229,2017-01-29,4.4,9.4,11.9
21229,2017-01-30,11.2,3.9,11.7
21229,2017-01-31,5.5,5.1,13.1
21229,2017-02-01,9.8,4.8,13
21229,2017-02-02,10.4,6.9,12.8
21229,2017-02-03,5.9,8,12.8
21229,2017-02-04,2.3,10.1,12.7
21229,2017-02-05,7.1,9.2,12.7
21229,2017-02-06,9.4,4.8,
21229,2017-02-07,6.4,3.7,12.6
21229,2017-02-08,4.3,5.4,13
21229,2017-02-09,10.7,2.8,12.7
21229,2017-02-10,9.2,-.8,10.8
21229,2017-02-11,9.5,1.4,12.1
21229,2017-02-12,6.9,3.5,11.9
21229,2017-02-13,4.8,4.3,11.9
21229,2017-02-14,5.5,4.4,11.8
21229,2017-02-15,4.8,8.5,11.9
21229,2017-02-16,10.4,12,11.8
21229,2017-02-17,7.2,7.7,11.8
21229,2017-02-18,7.4,4,11.9
21229,2017-02-19,7.9,6.8,11.7
21229,2017-02-20,12.1,6.1,11.7
21229,2017-02-21,6.3,3,11.6
21229,2017-02-22,6.6,7.6,11.6
21229,2017-02-23,10.5,6.1,11.7
21229,2017-02-24,7.3,4.9,11.7
21229,2017-02-25,6.3,6.6,11.7
21229,2017-02-26,6.3,6.4,11.6
21229,2017-02-27,5.7,6.2,11.5
21229,2017-02-28,6.4,8.9,11.5
21229,2017-03-01,6.6,10.7,11.4
21229,2017-03-02,8,6.2,11.8
21229,2017-03-03,5.5,8,11.6
21229,2017-03-04,6.4,9,11.6
21229,2017-03-05,5.1,9.7,11.6
21229,2017-03-06,7.1,4.7,11.5
21229,2017-03-07,9.5,2,11.5
21229,2017-03-08,7.4,4.3,11.3
21229,2017-03-09,7.6,6.7,11.8
21229,2017-03-10,6.3,7.1,11.6
21229,2017-03-11,4.1,9,11.6
21229,2017-03-12,8,10.9,12.1
21229,2017-03-13,7.4,8.5,11.7
21229,2017-03-14,9.5,6.5,11.1
21229,2017-03-15,10.8,6.2,11.6
21229,2017-03-16,2.4,7.4,12.2
21229,2017-03-17,2.4,10.1,12.4
21229,2017-03-18,4.6,12,12.5
21229,2017-03-19,4.6,10.8,12.8
21229,2017-03-20,5,11.2,12.5
21229,2017-03-21,7.5,8.4,12.2
21229,2017-03-22,5.4,9.5,12
21229,2017-03-23,6.8,9.3,12.4
21229,2017-03-24,2.5,7.2,12.4
21229,2017-03-25,3.6,7.4,12.4
21229,2017-03-26,3.7,8.2,12.3
21229,2017-03-27,2.6,7.7,12.2
21229,2017-03-28,6,8.7,12.2
21229,2017-03-29,4.9,11.1,11.9
21229,2017-03-30,6.1,11,11.9
21229,2017-03-31,6,9.1,11.1
21229,2017-04-01,4.4,8.8,10.8
21229,2017-04-02,5.1,8.5,11.2
21229,2017-04-03,5.7,11.9,11.3
21229,2017-04-04,3.4,12,11.7
21229,2017-04-05,5.8,12.6,11.2
21229,2017-04-06,10.5,12.8,11.2
21229,2017-04-07,2.3,11.2,11.6
21229,2017-04-08,3.8,10.7,11.2
21229,2017-04-09,6,11.3,11.2
21229,2017-04-10,6.3,10.6,11.6
21229,2017-04-11,6.5,10.8,11.5
21229,2017-04-12,5.5,10.1,11.4
21229,2017-04-13,4.3,12.3,11.6
21229,2017-04-14,8.8,13.9,12
21229,2017-04-15,6.8,13.7,12.1
21229,2017-04-16,4,13.9,12.4
21229,2017-04-17,6.9,12.8,12.2
21229,2017-04-18,7.6,12.5,12.1
21229,2017-04-19,7.5,12.5,11.9
21229,2017-04-20,2.7,12.4,12.1
21229,2017-04-21,4.1,11.9,12.2
21229,2017-04-22,3,11.4,12.6
21229,2017-04-23,7.5,13,12.6
21229,2017-04-24,7.4,14.1,13.2
21229,2017-04-25,8.2,15,13.9
21229,2017-04-26,3.2,13.7,14
21229,2017-04-27,6.1,13.6,14.1
21229,2017-04-28,7.9,14.8,14.3
21229,2017-04-29,5.9,14.5,14.4
21229,2017-04-30,6,16,14.3
21229,2017-05-01,4.1,14.2,14.5
21229,2017-05-02,3.9,14.1,15.1
21229,2017-05-03,4,14.8,15.5
21229,2017-05-04,4.3,16.4,15.8
21229,2017-05-05,5.3,17.1,16.3
21229,2017-05-06,7.3,15.7,15.7
21229,2017-05-07,7,16.5,15.6
21229,2017-05-08,4.3,16.8,15.4
21229,2017-05-09,5,15.2,15.5
21229,2017-05-10,4.7,15.2,15.7
21229,2017-05-11,5.3,16.4,15.6
21229,2017-05-12,7.2,17.1,15.2
21229,2017-05-13,5,15.5,15.5
21229,2017-05-14,7,16.6,15.5
21229,2017-05-15,5.4,15.4,15.2
21229,2017-05-16,3.2,15,15.7
21229,2017-05-17,3.3,15.7,16.3
21229,2017-05-18,5.9,16.4,16.5
21229,2017-05-19,3.9,17.9,17
21229,2017-05-20,3.3,18,17.4
21229,2017-05-21,4,18.5,17.6
21229,2017-05-22,4.9,17,17.8
21229,2017-05-23,3.4,17.1,18
21229,2017-05-24,2.1,17.5,18.2
21229,2017-05-25,7.7,17,17.7
21229,2017-05-26,11.9,14.2,16.5
21229,2017-05-27,6,15.7,16.2
21229,2017-05-28,5.6,17,16.6
21229,2017-05-29,3.3,18.3,16.7
21229,2017-05-30,2.7,19.1,17.5
21229,2017-05-31,3.2,18.3,17.6
21229,2017-06-01,4.9,17.5,17.7
21229,2017-06-02,6.2,16.2,17.3
21229,2017-06-03,4.7,16.3,17.4
21229,2017-06-04,2.2,17.7,18
21229,2017-06-05,4.2,16.9,18.1
21229,2017-06-06,3.8,17.3,18.1
21229,2017-06-07,8,18,17.7
21229,2017-06-08,4.4,18.6,17.9
21229,2017-06-09,5.6,19.9,17.9
21229,2017-06-10,4.3,18.7,18.1
21229,2017-06-11,3.6,18,18.5
21229,2017-06-12,4.8,16.4,18.6
21229,2017-06-13,3,16.4,18.7
21229,2017-06-14,4.8,18.4,18.8
21229,2017-06-15,5.6,19.1,18.9
21229,2017-06-16,3.6,17.4,19
21229,2017-06-17,4.3,18.2,19.3
21229,2017-06-18,3.8,18.9,19.6
21229,2017-06-19,4.4,19.8,19.7
21229,2017-06-20,5,20.6,19.9
21229,2017-06-21,4.8,20.3,20.4
21229,2017-06-22,2.8,21,20.9
21229,2017-06-23,2.2,20.9,21.6
21229,2017-06-24,3,21.1,21.8
