날짜,종가,오픈,고가,저가,변동 %
2018년 07월 25일,165.12,166.12,166.65,165.07,-0.53%
2018년 07월 24일,166,166.96,167.57,165.81,-0.58%
2018년 07월 23일,166.97,166.5,167.77,166.26,0.23%
2018년 07월 20일,166.58,167.58,168.15,166.5,-0.61%
2018년 07월 19일,167.6,168.4,168.71,167.38,-0.44%
2018년 07월 18일,168.34,168.01,168.94,167.87,0.18%
2018년 07월 17일,168.04,168.69,168.91,167.9,-0.37%
2018년 07월 16일,168.66,168.91,169.1,168.51,-0.14%
2018년 07월 13일,168.89,168.6,169.42,168.26,0.14%
2018년 07월 12일,168.66,168.86,169.57,168.23,-0.12%
2018년 07월 11일,168.87,168.18,169.68,167.94,0.48%
2018년 07월 10일,168.06,168.16,169.12,167.59,-0.13%
2018년 07월 09일,168.28,167.9,168.34,167.59,0.22%
2018년 07월 06일,167.91,168.64,169.11,167.61,-0.44%
2018년 07월 05일,168.65,168.28,169.01,168.09,0.20%
2018년 07월 04일,168.32,167.82,169.01,167.63,0.28%
2018년 07월 03일,167.85,167.81,168.49,166.85,0.03%
2018년 07월 02일,167.8,168.42,168.9,167.74,-0.36%
2018년 06월 29일,168.41,169.24,169.42,167.88,-0.47%
2018년 06월 28일,169.21,170.01,170.22,169.12,-0.53%
2018년 06월 27일,170.12,170.09,170.53,169.19,0.06%
2018년 06월 26일,170.01,170.54,170.95,169.86,-0.32%
2018년 06월 25일,170.56,170.93,171.93,170.46,-0.22%
2018년 06월 22일,170.93,171.03,171.63,170.31,-0.06%
2018년 06월 21일,171.03,171.48,171.6,170.35,-0.25%
2018년 06월 20일,171.46,171.38,171.66,170.65,0.01%
2018년 06월 19일,171.45,171.47,172.68,171.17,0.05%
2018년 06월 18일,171.37,171.25,171.97,170.95,0.01%
2018년 06월 15일,171.35,170.07,171.59,169.59,0.72%
2018년 06월 14일,170.13,169.75,170.26,169,0.23%
2018년 06월 13일,169.74,168.94,170.16,168.63,0.46%
2018년 06월 12일,168.96,168.26,169.06,167.61,0.44%
2018년 06월 11일,168.22,167.75,168.35,167.34,0.26%
2018년 06월 08일,167.78,167.81,168.36,167.47,0.02%
2018년 06월 07일,167.74,166.96,168.06,166.78,0.44%
2018년 06월 06일,167,167.35,167.47,166.77,-0.20%
2018년 06월 05일,167.34,166.91,167.56,166.63,0.20%
2018년 06월 04일,167,167.08,167.31,166.69,0.03%
2018년 06월 01일,166.95,168.63,168.75,166.86,-0.96%
2018년 05월 31일,168.57,167.74,168.94,167.54,0.46%
2018년 05월 30일,167.8,169.02,169.17,167.76,-0.69%
2018년 05월 29일,168.97,168.05,169.26,167.82,0.56%
2018년 05월 28일,168.03,168.68,168.68,167.66,-0.41%
2018년 05월 25일,168.72,169.56,169.79,168.34,-0.51%
2018년 05월 24일,169.59,168.67,170.32,168.37,0.58%
2018년 05월 23일,168.62,169.06,169.78,168.54,-0.26%
2018년 05월 22일,169.06,168.78,169.35,168.6,0.14%
2018년 05월 21일,168.82,169.47,170.49,168.81,-0.40%
2018년 05월 18일,169.49,170.04,170.27,169.07,-0.32%
2018년 05월 17일,170.03,169.16,170.25,168.97,0.52%
2018년 05월 16일,169.15,169.47,170.15,168.97,-0.19%
2018년 05월 15일,169.47,168.94,169.74,168.56,0.31%
2018년 05월 14일,168.94,168.64,168.99,168.07,0.20%
2018년 05월 11일,168.61,167.74,168.87,167.58,0.45%
2018년 05월 10일,167.86,169.7,170.02,167.65,-1.06%
2018년 05월 09일,169.65,169.34,170.17,169.06,0.21%
2018년 05월 08일,169.3,169.61,169.82,169.06,-0.20%
2018년 05월 07일,169.64,168.84,170.09,168.63,0.49%
2018년 05월 04일,168.81,169.34,170.03,168.71,-0.28%
2018년 05월 03일,169.28,169.73,170.06,168.87,-0.26%
2018년 05월 02일,169.72,169.51,169.88,168.81,0.13%
2018년 05월 01일,169.5,169,169.77,168.85,0.28%
2018년 04월 30일,169.02,168.56,169.22,168.32,0.24%
2018년 04월 27일,168.61,170.03,170.46,168.34,-0.86%
2018년 04월 26일,170.07,171.06,171.19,170,-0.58%
2018년 04월 25일,171.06,170.82,171.76,170.52,0.14%
2018년 04월 24일,170.82,171.21,171.27,170.33,-0.20%
2018년 04월 23일,171.16,170.12,171.37,169.54,0.62%
2018년 04월 20일,170.11,169.94,170.63,169.62,0.09%
2018년 04월 19일,169.96,169.77,170.23,168.99,0.12%
2018년 04월 18일,169.76,169.86,170.17,169.43,-0.05%
2018년 04월 17일,169.85,170.6,170.71,169.81,-0.43%
2018년 04월 16일,170.59,170.75,171.25,170.5,-0.11%
2018년 04월 13일,170.78,170.19,171,169.82,0.32%
2018년 04월 12일,170.24,170.18,170.93,169.97,0.04%
2018년 04월 11일,170.18,169.47,170.46,169.38,0.42%
2018년 04월 10일,169.47,169.6,170.09,169.19,-0.08%
2018년 04월 09일,169.6,169.91,170.09,169.25,-0.13%
2018년 04월 06일,169.82,168.54,170.14,168.49,0.77%
2018년 04월 05일,168.53,167.84,168.78,167.71,0.41%
2018년 04월 04일,167.84,167.69,169.03,167.63,0.07%
2018년 04월 03일,167.72,168.32,168.79,167.68,-0.36%
2018년 04월 02일,168.32,168.99,169.38,167.66,-0.47%
2018년 03월 30일,169.12,169.03,170.04,169,0.07%
2018년 03월 29일,169.01,169,169.74,168.69,-0.01%
2018년 03월 28일,169.03,171.06,171.13,168.81,-1.22%
2018년 03월 27일,171.12,171.46,171.94,170.56,-0.20%
2018년 03월 26일,171.47,171.67,172.1,170.9,-0.08%
2018년 03월 23일,171.6,170.71,172.03,170.4,0.54%
2018년 03월 22일,170.68,168.47,170.84,168.41,1.36%
2018년 03월 21일,168.39,169.22,169.64,168.27,-0.50%
2018년 03월 20일,169.23,169.48,169.84,168.79,-0.18%
