"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 12월 03일","48.04","48.04","48.04","48.04","-","0.78%"
"2020년 12월 02일","47.67","47.67","47.67","47.67","-","1.51%"
"2020년 12월 01일","46.96","46.96","46.96","46.96","-","8.22%"
"2020년 11월 30일","43.39","43.39","43.39","43.39","-","-0.10%"
"2020년 11월 27일","43.44","43.44","43.44","43.44","-","-0.19%"
"2020년 11월 25일","43.52","43.52","43.52","43.52","-","0.29%"
"2020년 11월 24일","43.40","43.40","43.40","43.40","-","0.74%"
"2020년 11월 23일","43.08","43.08","43.08","43.08","-","0.55%"
"2020년 11월 20일","42.84","42.84","42.84","42.84","-","0.57%"
"2020년 11월 19일","42.60","42.60","42.60","42.60","-","-0.22%"
"2020년 11월 18일","42.69","42.69","42.69","42.69","-","0.48%"
"2020년 11월 17일","42.49","42.49","42.49","42.49","-","-0.08%"
"2020년 11월 16일","42.52","42.52","42.52","42.52","-","1.55%"
"2020년 11월 13일","41.87","41.87","41.87","41.87","-","-1.17%"
"2020년 11월 12일","42.37","42.37","42.37","42.37","-","0.03%"
"2020년 11월 11일","42.36","42.36","42.36","42.36","-","0.39%"
"2020년 11월 10일","42.19","42.19","42.19","42.19","-","1.90%"
"2020년 11월 09일","41.40","41.40","41.40","41.40","-","5.40%"
"2020년 11월 06일","39.28","39.28","39.28","39.28","-","-2.14%"
"2020년 11월 05일","40.14","40.14","40.14","40.14","-","-1.00%"
"2020년 11월 04일","40.55","40.55","40.55","40.55","-","3.54%"
"2020년 11월 03일","39.16","39.16","39.16","39.16","-","2.11%"
"2020년 11월 02일","38.36","38.36","38.36","38.36","-","-5.67%"
"2020년 10월 30일","40.66","40.66","40.66","40.66","-","-0.05%"
"2020년 10월 29일","40.68","40.68","40.68","40.68","-","-0.17%"
"2020년 10월 28일","40.75","40.75","40.75","40.75","-","-0.56%"
"2020년 10월 27일","40.98","40.98","40.98","40.98","-","0.23%"
"2020년 10월 26일","40.89","40.89","40.89","40.89","-","-0.62%"
"2020년 10월 23일","41.14","41.14","41.14","41.14","-","-0.40%"
"2020년 10월 22일","41.31","41.31","41.31","41.31","-","0.58%"
"2020년 10월 21일","41.07","41.07","41.07","41.07","-","-1.26%"
"2020년 10월 20일","41.59","41.59","41.59","41.59","-","0.52%"
"2020년 10월 19일","41.37","41.37","41.37","41.37","-","-0.26%"
"2020년 10월 16일","41.48","41.48","41.48","41.48","-","-0.40%"
"2020년 10월 15일","41.65","41.65","41.65","41.65","-","-0.31%"
"2020년 10월 14일","41.78","41.78","41.78","41.78","-","1.31%"
"2020년 10월 13일","41.24","41.24","41.24","41.24","-","1.13%"
"2020년 10월 12일","40.78","40.78","40.78","40.78","-","-1.69%"
"2020년 10월 09일","41.48","41.48","41.48","41.48","-","-0.94%"
"2020년 10월 08일","41.88","41.88","41.88","41.88","-","2.19%"
"2020년 10월 07일","40.98","40.98","40.98","40.98","-","-1.41%"
"2020년 10월 06일","41.56","41.56","41.56","41.56","-","2.83%"
"2020년 10월 05일","40.42","40.42","40.42","40.42","-","5.04%"
"2020년 10월 02일","38.48","38.48","38.48","38.48","-","-4.53%"
"2020년 10월 01일","40.30","40.30","40.30","40.30","-","-2.87%"
"2020년 09월 30일","41.49","41.49","41.49","41.49","-","-0.09%"
"2020년 09월 29일","41.53","41.53","41.53","41.53","-","-0.22%"
"2020년 09월 28일","41.62","41.62","41.62","41.62","-","0.05%"
"2020년 09월 25일","41.60","41.60","41.60","41.60","-","0.09%"
"2020년 09월 24일","41.56","41.56","41.56","41.56","-","0.19%"
"2020년 09월 23일","41.49","41.49","41.49","41.49","-","-0.02%"
"2020년 09월 22일","41.50","41.50","41.50","41.50","-","0.21%"
"2020년 09월 21일","41.41","41.41","41.41","41.41","-","-1.43%"
"2020년 09월 18일","42.01","42.01","42.01","42.01","-","-0.02%"
"2020년 09월 17일","42.02","42.02","42.02","42.02","-","1.06%"
"2020년 09월 16일","41.58","41.58","41.58","41.58","-","2.18%"
"2020년 09월 15일","40.69","40.69","40.69","40.69","-","1.34%"
"2020년 09월 14일","40.15","40.15","40.15","40.15","-","-0.23%"
"2020년 09월 11일","40.24","40.24","40.24","40.24","-","-0.01%"
"2020년 09월 10일","40.25","40.25","40.25","40.25","-","-1.29%"
"2020년 09월 09일","40.78","40.78","40.78","40.78","-","1.44%"
"2020년 09월 08일","40.20","40.20","40.20","40.20","-","-5.67%"
"2020년 09월 04일","42.61","42.61","42.61","42.61","-","-2.29%"
"2020년 09월 03일","43.61","43.61","43.61","43.61","-","-0.50%"
"2020년 09월 02일","43.83","43.83","43.83","43.83","-","-2.27%"
"2020년 09월 01일","44.85","44.85","44.85","44.85","-","1.95%"
"2020년 08월 31일","43.99","43.99","43.99","43.99","-","0.10%"
"2020년 08월 28일","43.94","43.94","43.94","43.94","-","-0.05%"
"2020년 08월 27일","43.96","43.96","43.96","43.96","-","0.00%"
"2020년 08월 26일","43.96","43.96","43.96","43.96","-","-0.09%"
"2020년 08월 25일","44.00","44.00","44.00","44.00","-","0.20%"
"2020년 08월 24일","43.91","43.91","43.91","43.91","-","0.50%"
"2020년 08월 21일","43.69","43.69","43.69","43.69","-","-0.21%"
"2020년 08월 20일","43.78","43.78","43.78","43.78","-","-0.39%"
"2020년 08월 19일","43.96","43.96","43.96","43.96","-","-0.01%"
"2020년 08월 18일","43.96","43.96","43.96","43.96","-","0.42%"
"2020년 08월 17일","43.78","43.78","43.78","43.78","-","0.89%"
"2020년 08월 14일","43.39","43.39","43.39","43.39","-","-0.45%"
"2020년 08월 13일","43.59","43.59","43.59","43.59","-","-0.87%"
"2020년 08월 12일","43.97","43.97","43.97","43.97","-","1.36%"
"2020년 08월 11일","43.38","43.38","43.38","43.38","-","-0.92%"
"2020년 08월 10일","43.78","43.78","43.78","43.78","-","1.03%"
"2020년 08월 07일","43.33","43.33","43.33","43.33","-","-0.64%"
"2020년 08월 06일","43.61","43.61","43.61","43.61","-","-0.60%"
"2020년 08월 05일","43.88","43.88","43.88","43.88","-","1.11%"
"2020년 08월 04일","43.40","43.40","43.40","43.40","-","0.02%"
"2020년 08월 03일","43.39","43.39","43.39","43.39","-","1.98%"
"2020년 07월 31일","42.54","42.54","42.54","42.54","-","-1.70%"
"2020년 07월 30일","43.28","43.28","43.28","43.28","-","-0.04%"
"2020년 07월 29일","43.29","43.29","43.29","43.29","-","0.03%"
"2020년 07월 28일","43.28","43.28","43.28","43.28","-","-0.12%"
"2020년 07월 27일","43.33","43.33","43.33","43.33","-","0.11%"
"2020년 07월 24일","43.28","43.28","43.28","43.28","-","-0.04%"
"2020년 07월 23일","43.30","43.30","43.30","43.30","-","-0.72%"
"2020년 07월 22일","43.62","43.62","43.62","43.62","-","0.08%"
"2020년 07월 21일","43.58","43.58","43.58","43.58","-","1.22%"
"2020년 07월 20일","43.05","43.05","43.05","43.05","-","0.13%"
"2020년 07월 17일","43.00","43.00","43.00","43.00","-","-0.70%"
"2020년 07월 16일","43.30","43.30","43.30","43.30","-","-1.10%"
"2020년 07월 15일","43.78","43.78","43.78","43.78","-","1.31%"
"2020년 07월 14일","43.22","43.22","43.22","43.22","-","0.28%"
"2020년 07월 13일","43.10","43.10","43.10","43.10","-","-0.70%"
"2020년 07월 10일","43.40","43.40","43.40","43.40","-","1.43%"
"2020년 07월 09일","42.79","42.79","42.79","42.79","-","-1.16%"
"2020년 07월 08일","43.29","43.29","43.29","43.29","-","0.47%"
"2020년 07월 07일","43.09","43.09","43.09","43.09","-","0.46%"
"2020년 07월 06일","42.89","42.89","42.89","42.89","-","-0.72%"
"2020년 07월 02일","43.20","43.20","43.20","43.20","-","2.23%"
"2020년 07월 01일","42.26","42.26","42.26","42.26","-","3.60%"
"2020년 06월 30일","40.79","40.79","40.79","40.79","-","-0.01%"
"2020년 06월 29일","40.80","40.80","40.80","40.80","-","-0.02%"
"2020년 06월 26일","40.81","40.81","40.81","40.81","-","0.05%"
"2020년 06월 25일","40.78","40.78","40.78","40.78","-","0.35%"
"2020년 06월 24일","40.64","40.64","40.64","40.64","-","-0.97%"
"2020년 06월 23일","41.04","41.04","41.04","41.04","-","-0.20%"
"2020년 06월 22일","41.12","41.12","41.12","41.12","-","0.12%"
"2020년 06월 19일","41.07","41.07","41.07","41.07","-","1.09%"
"2020년 06월 18일","40.63","40.63","40.63","40.63","-","1.00%"
"2020년 06월 17일","40.23","40.23","40.23","40.23","-","-0.14%"
"2020년 06월 16일","40.28","40.28","40.28","40.28","-","1.08%"
"2020년 06월 15일","39.85","39.85","39.85","39.85","-","0.89%"
"2020년 06월 12일","39.50","39.50","39.50","39.50","-","0.15%"
"2020년 06월 11일","39.44","39.44","39.44","39.44","-","-5.01%"
"2020년 06월 10일","41.52","41.52","41.52","41.52","-","1.72%"
"2020년 06월 09일","40.82","40.82","40.82","40.82","-","0.31%"
"2020년 06월 08일","40.69","40.69","40.69","40.69","-","-1.51%"
"2020년 06월 05일","41.32","41.32","41.32","41.32","-","5.53%"
"2020년 06월 04일","39.15","39.15","39.15","39.15","-","-0.27%"
"2020년 06월 03일","39.26","39.26","39.26","39.26","-","0.21%"
"2020년 06월 02일","39.17","39.17","39.17","39.17","-","2.23%"
"2020년 06월 01일","38.32","38.32","38.32","38.32","-","25.77%"
"2020년 05월 29일","30.47","30.47","30.47","30.47","-","-0.15%"
"2020년 05월 28일","30.51","30.51","30.51","30.51","-","0.28%"
"2020년 05월 27일","30.43","30.43","30.43","30.43","-","-0.53%"
"2020년 05월 26일","30.59","30.59","30.59","30.59","-","0.82%"
"2020년 05월 22일","30.34","30.34","30.34","30.34","-","-0.92%"
"2020년 05월 21일","30.62","30.62","30.62","30.62","-","0.18%"
"2020년 05월 20일","30.57","30.57","30.57","30.57","-","0.49%"
"2020년 05월 19일","30.42","30.42","30.42","30.42","-","-0.42%"
"2020년 05월 18일","30.55","30.55","30.55","30.55","-","2.51%"
"2020년 05월 15일","29.80","29.80","29.80","29.80","-","2.05%"
"2020년 05월 14일","29.20","29.20","29.20","29.20","-","9.45%"
"2020년 05월 13일","26.68","26.68","26.68","26.68","-","-0.48%"
