"날짜","종가","오픈","고가","저가","변동 %"
"2019년 02월 22일","130.48","130.50","130.76","130.20","0.00%"
"2019년 02월 21일","130.48","130.80","131.16","130.22","-0.21%"
"2019년 02월 20일","130.76","131.06","131.29","130.45","-0.26%"
"2019년 02월 19일","131.10","130.85","131.34","130.39","0.19%"
"2019년 02월 18일","130.85","130.40","131.04","130.26","0.31%"
"2019년 02월 15일","130.45","130.28","130.64","129.75","0.16%"
"2019년 02월 14일","130.24","129.90","130.64","129.76","0.23%"
"2019년 02월 13일","129.94","129.60","130.50","129.57","0.25%"
"2019년 02월 12일","129.62","129.21","129.97","129.05","0.35%"
"2019년 02월 11일","129.17","130.15","130.33","128.96","-0.80%"
"2019년 02월 08일","130.21","130.87","131.27","129.99","-0.49%"
"2019년 02월 07일","130.85","131.28","131.73","130.75","-0.35%"
"2019년 02월 06일","131.31","131.73","132.14","131.20","-0.28%"
"2019년 02월 05일","131.68","132.34","132.72","131.58","-0.52%"
"2019년 02월 04일","132.37","132.61","133.07","131.68","-0.20%"
"2019년 02월 01일","132.64","131.93","133.01","131.78","0.52%"
"2019년 01월 31일","131.95","131.87","132.60","131.70","0.07%"
"2019년 01월 30일","131.86","131.56","132.19","131.33","0.22%"
"2019년 01월 29일","131.57","131.48","131.98","131.16","0.10%"
"2019년 01월 28일","131.44","131.43","131.71","130.99","-0.02%"
"2019년 01월 25일","131.47","131.44","131.69","130.71","0.03%"
"2019년 01월 24일","131.43","131.51","132.16","131.19","-0.07%"
"2019년 01월 23일","131.52","131.59","131.82","130.99","-0.05%"
"2019년 01월 22일","131.59","132.44","132.56","131.32","-0.68%"
"2019년 01월 21일","132.49","131.51","132.58","131.40","0.67%"
"2019년 01월 18일","131.61","131.33","131.73","131.06","0.23%"
"2019년 01월 17일","131.31","131.23","131.53","130.92","0.05%"
"2019년 01월 16일","131.24","131.38","131.75","131.00","-0.16%"
"2019년 01월 15일","131.45","131.24","131.99","130.97","0.18%"
"2019년 01월 14일","131.22","131.10","131.83","130.94","0.17%"
"2019년 01월 11일","131.00","131.83","132.31","130.92","-0.63%"
"2019년 01월 10일","131.83","132.02","132.46","131.63","-0.16%"
"2019년 01월 09일","132.04","131.33","132.35","131.10","0.54%"
"2019년 01월 08일","131.33","131.00","132.13","130.90","0.25%"
"2019년 01월 07일","131.00","129.74","131.23","129.51","1.03%"
"2019년 01월 04일","129.66","129.58","130.16","129.20","0.08%"
"2019년 01월 03일","129.56","128.50","129.74","127.73","0.82%"
"2019년 01월 02일","128.51","128.79","129.80","128.38","-0.20%"
"2019년 01월 01일","128.77","128.97","128.98","128.61","-0.15%"
"2018년 12월 31일","128.96","128.24","129.01","127.65","0.58%"
"2018년 12월 28일","128.22","127.70","128.72","127.17","0.40%"
"2018년 12월 27일","127.71","128.28","128.55","127.40","-0.35%"
"2018년 12월 26일","128.16","128.06","128.87","127.44","-0.10%"
"2018년 12월 25일","128.29","128.62","128.77","128.04","-0.23%"
"2018년 12월 24일","128.59","128.94","129.10","128.20","-0.20%"
"2018년 12월 21일","128.85","129.23","129.94","128.16","-0.36%"
"2018년 12월 20일","129.31","129.59","130.36","129.03","-0.20%"
"2018년 12월 19일","129.57","129.12","129.83","128.75","0.33%"
"2018년 12월 18일","129.14","130.64","131.12","128.84","-1.14%"
"2018년 12월 17일","130.63","131.41","131.61","130.50","-0.64%"
"2018년 12월 14일","131.47","131.52","132.19","131.27","-0.05%"
"2018년 12월 13일","131.53","131.23","131.82","130.81","0.23%"
"2018년 12월 12일","131.23","131.67","131.93","130.96","-0.33%"
"2018년 12월 11일","131.67","131.80","132.90","131.50","-0.08%"
"2018년 12월 10일","131.77","132.34","133.66","131.72","-0.44%"
"2018년 12월 07일","132.35","131.31","132.91","131.12","0.79%"
"2018년 12월 06일","131.31","131.07","131.80","130.72","0.21%"
"2018년 12월 05일","131.04","130.65","131.19","130.40","0.28%"
"2018년 12월 04일","130.68","130.11","130.94","129.95","0.44%"
"2018년 12월 03일","130.11","130.41","131.09","129.88","-0.21%"
"2018년 11월 30일","130.39","130.95","131.67","129.94","-0.41%"
"2018년 11월 29일","130.93","131.28","131.53","130.48","-0.27%"
"2018년 11월 28일","131.28","131.39","131.92","130.91","-0.08%"
"2018년 11월 27일","131.38","131.60","131.87","130.89","-0.14%"
"2018년 11월 26일","131.57","131.86","132.19","131.22","-0.22%"
"2018년 11월 23일","131.86","133.07","133.26","131.54","-0.91%"
"2018년 11월 22일","133.07","132.27","133.12","132.02","0.60%"
"2018년 11월 21일","132.27","131.67","132.84","131.49","0.46%"
"2018년 11월 20일","131.66","132.78","133.31","131.34","-0.84%"
"2018년 11월 19일","132.78","132.85","133.93","132.56","-0.06%"
"2018년 11월 16일","132.86","132.87","133.85","132.62","-0.01%"
"2018년 11월 15일","132.87","133.13","133.42","132.62","-0.21%"
"2018년 11월 14일","133.15","133.29","133.94","132.97","-0.02%"
"2018년 11월 13일","133.17","133.65","133.94","132.89","-0.42%"
"2018년 11월 12일","133.73","134.02","134.69","133.63","-0.22%"
"2018년 11월 09일","134.03","133.94","134.69","133.54","0.07%"
"2018년 11월 08일","133.94","133.70","134.44","133.62","0.17%"
"2018년 11월 07일","133.71","134.17","135.23","133.69","-0.34%"
"2018년 11월 06일","134.16","134.14","134.83","133.82","0.10%"
"2018년 11월 05일","134.03","133.51","134.52","133.43","0.31%"
"2018년 11월 02일","133.62","134.71","135.28","133.42","-0.73%"
"2018년 11월 01일","134.60","135.24","135.69","134.32","-0.56%"
"2018년 10월 31일","135.36","135.47","135.98","135.02","-0.07%"
"2018년 10월 30일","135.45","136.26","136.56","135.26","-0.59%"
"2018년 10월 29일","136.26","136.58","137.15","136.01","-0.20%"
"2018년 10월 26일","136.53","136.32","137.17","136.03","0.15%"
"2018년 10월 25일","136.32","136.52","136.97","135.78","-0.12%"
"2018년 10월 24일","136.49","136.99","137.34","136.01","-0.36%"
"2018년 10월 23일","136.99","137.25","137.66","136.75","-0.19%"
"2018년 10월 22일","137.25","137.67","138.09","136.81","-0.26%"
"2018년 10월 19일","137.61","137.57","138.00","136.83","0.05%"
"2018년 10월 18일","137.54","137.44","138.39","137.25","0.09%"
"2018년 10월 17일","137.41","137.90","138.40","137.16","-0.33%"
"2018년 10월 16일","137.86","138.73","139.39","137.68","-0.70%"
"2018년 10월 15일","138.83","138.46","139.21","138.20","0.29%"
"2018년 10월 12일","138.43","138.22","138.82","137.89","0.15%"
"2018년 10월 11일","138.22","138.82","139.65","137.91","-0.43%"
"2018년 10월 10일","138.81","136.94","139.22","136.82","1.37%"
"2018년 10월 09일","136.94","137.10","137.60","136.74","-0.11%"
"2018년 10월 08일","137.09","137.03","137.51","136.63","0.03%"
"2018년 10월 05일","137.05","137.39","137.59","136.26","-0.25%"
"2018년 10월 04일","137.40","136.81","137.69","136.70","0.43%"
"2018년 10월 03일","136.81","136.95","137.44","136.55","-0.02%"
"2018년 10월 02일","136.84","136.54","137.08","136.32","0.14%"
"2018년 10월 01일","136.65","136.38","136.87","135.99","0.29%"
