"국가별","항목","단위","2015. 12 월","2016. 01 월","2016. 02 월","2016. 03 월","2016. 04 월","2016. 05 월","2016. 06 월","2016. 07 월","2016. 08 월","2016. 09 월","2016. 10 월","2016. 11 월","2016. 12 월","2017. 01 월","2017. 02 월","2017. 03 월","2017. 04 월","2017. 05 월","2017. 06 월","2017. 07 월","2017. 08 월","2017. 09 월","2017. 10 월","2017. 11 월","2017. 12 월","2018. 01 월","2018. 02 월","2018. 03 월","2018. 04 월","2018. 05 월","2018. 06 월","2018. 07 월","2018. 08 월","2018. 09 월","2018. 10 월","2018. 11 월","2018. 12 월","2019. 01 월","2019. 02 월","2019. 03 월","2019. 04 월","2019. 05 월","2019. 06 월","2019. 07 월","2019. 08 월","2019. 09 월","2019. 10 월","2019. 11 월","2019. 12 월","2020. 01 월","2020. 02 월","2020. 03 월","2020. 04 월","2020. 05 월","2020. 06 월","2020. 07 월","2020. 08 월","2020. 09 월","2020. 10 월","2020. 11 월","2020. 12 월","2021. 01 월","2021. 02 월","2021. 03 월","2021. 04 월","2021. 05 월","2021. 06 월",
"모리타니","SDR 비율(자국화폐/SDR, 기말)","Ouguiya/SDR","46.96934","46.96173","47.55176","49.2467","49.7908","49.53705","49.52188","49.34379","49.51588","49.63932","48.90216","48.19936","47.92408","48.49252","48.39489","48.64437","49.17588","49.67358","49.88542","50.46357","50.15272","50.16634","49.6135","50.00531","50.3403","51.43643","50.90968","51.32142","50.97932","50.36195","50.14431","50.20996","50.15569","49.83836","49.5354","50.21108","50.55527","50.97138","50.84438","50.60174","50.66336","50.46219","51.02076","50.43656","50.2591","50.31963","51.1202","51.07189","51.60705","51.41537","51.09979","50.66131","51.41771","51.79371","51.64361","52.86288","52.41463","51.84097","52.13186","52.82765","52.81464","51.82564","51.45395","50.90609","51.60938","52.13804","",
"모리타니","USD 비율(자국화폐/US$, 기말)","Ouguiya/US$","33.895","34.018","34.425","34.956","35.13","35.311","35.402","35.413","35.512","35.563","35.595","35.604","35.649","35.687","35.745","35.851","35.868","35.883","35.853","35.847","35.484","35.496","35.32","35.329","35.348","35.3","35.21","35.3","35.45","35.55","35.65","35.74","35.79","35.72","35.84","36.3","36.35","36.39","36.37","36.45","36.56","36.63","36.7","36.67","36.73","36.91","37.06","37.2","37.32","37.34","37.21","37.12","37.63","37.75","37.54","37.41","36.94","36.83","36.93","36.94","36.67","35.97","35.75","35.92","35.94","36.09","",
"모리타니","USD 비율(자국화폐/US$, 평균)","Ouguiya/US$","33.722","34.052","34.306","34.775","35.164","35.345","35.455","35.475","35.552","35.634","35.67","35.691","35.726","35.758","35.806","35.908","36.127","36.146","36.152","35.939","35.782","35.581","35.5","35.3995","35.4345","35.33","35.17","35.26","35.39","35.57","35.63","35.7","35.78","35.69","35.79","36.49","36.33","36.3","36.42","36.42","36.49","36.59","36.67","36.68","36.61","36.7","37.03","37.12","37.26","37.3","37.27","37.22","37.34","37.71","37.55","37.56","37.2","36.94","36.93","36.93","36.32","36.13","35.94","35.92","35.89","35.97","",
"모리셔스","SDR 비율(자국화폐/SDR, 기말)","Rupees/SDR","49.73207","49.71016","49.39305","49.85757","49.58656","49.68884","49.72737","49.28763","49.15154","49.42506","49.31074","48.7299","48.40952","48.43055","48.15783","47.89756","47.98679","48.14363","47.95584","47.08737","46.16583","47.80402","48.16527","47.5531","47.68543","47.08488","47.48654","48.32311","49.20777","48.80307","48.6179","47.9529","47.96504","47.73614","47.64064","47.49858","47.63294","47.73171","47.57745","48.25962","48.39557","48.87393","49.19708","49.37405","49.32548","49.69823","50.11987","50.38654","50.61155","50.77288","51.62452","53.7721","55.04004","55.11729","55.35937","56.5158","56.50621","56.38729","56.65334","57.29426","56.9318","57.29464","57.55718","57.63797","58.17429","58.86859","60.81186",
"모리셔스","USD 비율(자국화폐/US$, 기말)","Rupees/US$","35.8887","36.0089","35.758","35.3896","34.9859","35.4192","35.5489","35.3727","35.2507","35.4095","35.8924","35.9959","36.0101","35.6414","35.5699","35.3006","35.0007","34.7778","34.4662","33.4487","32.6632","33.8245","34.289","33.5965","33.4838","32.3136","32.8425","33.2377","34.2181","34.4496","34.5648","34.1334","34.2268","34.2133","34.4691","34.339","34.2488","34.0771","34.0331","34.7629","34.9235","35.4771","35.3882","35.8975","36.0477","36.4542","36.3348","36.7008","36.6001","36.8734","37.5921","39.3993","40.281","40.1724","40.241","39.9951","39.8236","40.0599","40.133","40.0633","39.5286","39.7658","39.9905","40.6701","40.5117","40.7489","42.6324",
"모리셔스","USD 비율(자국화폐/US$, 평균)","Rupees/US$","36.0662","36.0745","35.7191","35.6041","35.1399","35.156","35.4157","35.4947","35.2267","35.3345","35.6024","35.7938","35.9412","35.8359","35.5399","35.4338","35.2735","34.8015","34.7027","34.1151","33.0946","33.232","33.9856","34.0414","33.7209","33.0153","32.5781","33.0498","33.7208","34.4912","34.4446","34.2589","34.3104","34.2707","34.4125","34.4081","34.253","34.1432","34.1542","34.5206","34.7745","35.0777","35.509","35.761","35.9371","36.2441","36.419","36.5359","36.6059","36.625","37.2564","38.3395","39.8364","40.1746","40.1125","40.1691","39.8717","39.878","40.0336","40.1033","39.7631","39.5945","39.9519","40.3254","40.6237","40.6683","41.1618",
"모로코","SDR 비율(자국화폐/SDR, 기말)","Dirhams/SDR","13.72663","13.69011","13.6822","13.57215","13.635","13.68915","13.68727","13.59271","13.59609","13.60681","13.5614","13.60125","13.57237","13.55554","13.62828","13.59426","13.56066","13.45643","13.38181","13.31308","13.28869","13.29699","13.35084","13.29658","13.28646","13.31927","13.37229","13.37308","13.36162","13.47972","13.36244","13.2361","13.1987","13.18652","13.21948","13.13262","13.30362","13.32708","13.33361","13.41481","13.37396","13.39101","13.30683","13.22093","13.17546","13.28787","13.26642","13.27938","13.26572","13.25784","13.1813","13.83905","13.52724","13.41244","13.37107","13.22618","12.95439","13.01809","12.97622","12.97538","12.8253","12.9031","12.86478","12.84075","12.80513","14.12263","",
"모로코","USD 비율(자국화폐/US$, 기말)","Dirhams/US$","9.9057","9.9168","9.9052","9.6337","9.6202","9.7579","9.7847","9.7552","9.7509","9.7483","9.8711","10.047","10.096","9.9759","10.066","10.019","9.8909","9.7206","9.6176","9.457","9.402","9.4085","9.5045","9.3941","9.3295","9.1408","9.2485","9.1983","9.2914","9.5152","9.5","9.4216","9.4183","9.451","9.5646","9.4942","9.5655","9.5146","9.5378","9.6631","9.651","9.7204","9.5718","9.6123","9.6288","9.7468","9.6176","9.6725","9.5932","9.6284","9.5984","10.14","9.8999","9.7757","9.7195","9.3599","9.1298","9.2486","9.1923","9.0731","8.9048","8.9555","8.9384","9.0606","8.9173","9.7757","",
"모로코","USD 비율(자국화폐/US$, 평균)","Dirhams/US$","9.90468","9.92262","9.79322","9.77989","9.65475","9.6752","9.71532","9.8045","9.72513","9.72955","9.83339","9.95081","10.10534","10.05407","10.04093","10.01439","10.00029","9.81663","9.71951","9.56721","9.41991","9.36649","9.44577","9.45076","9.40801","9.24025","9.19008","9.18374","9.21159","9.4245","9.49532","9.46571","9.47455","9.41039","9.4898","9.51885","9.52846","9.53573","9.53637","9.61044","9.6325","9.67918","9.5997","9.59098","9.59935","9.68869","9.6578","9.65076","9.62343","9.60951","9.6806","9.6841","10.12932","9.85289","9.68047","9.56327","9.23418","9.2173","9.2048","9.13744","8.96828","8.90019","8.94128","9.00217","8.95486","9.85289","",
"모로코","명목 환율 지수","","103.43087","104.06709","103.91431","103.49877","103.06744","103.23884","103.3291","103.52172","103.34728","103.39663","103.8137","105.15609","105.73018","105.91578","105.35162","105.4355","105.1067","105.00463","104.91874","104.83074","104.54243","104.24694","104.72238","105.05335","104.86916","104.12917","103.75609","104.11054","104.41157","105.47166","105.99065","106.94535","108.70304","109.3568","109.19631","109.28226","109.01422","108.37911","108.59322","108.12331","108.53658","108.94866","108.94861","109.28404","110.43099","110.28395","110.20592","110.11864","109.96874","110.08085","110.93504","111.21323","108.41932","111.31635","110.56166","110.55622","112.27022","112.69042","113.07133","113.1058","112.72364","113.28513","112.9987","114.0378","114.452","112.98151","",
