날짜,종가,오픈,고가,저가,변동 %
2018년 05월 07일,1.716,1.7261,1.7368,1.7123,-0.59%
2018년 05월 04일,1.7262,1.7388,1.7436,1.7254,-0.73%
2018년 05월 03일,1.7389,1.749,1.7497,1.7365,-0.58%
2018년 05월 02일,1.749,1.7476,1.7556,1.7388,0.01%
2018년 05월 01일,1.7488,1.7461,1.7521,1.7434,0.21%
2018년 04월 30일,1.7452,1.7618,1.7671,1.7413,-0.93%
2018년 04월 27일,1.7616,1.7867,1.791,1.7555,-1.47%
2018년 04월 26일,1.7879,1.7923,1.7954,1.7855,-0.22%
2018년 04월 25일,1.7919,1.801,1.8118,1.7915,-0.43%
2018년 04월 24일,1.7996,1.7929,1.8008,1.7825,0.37%
2018년 04월 23일,1.793,1.796,1.8121,1.79,-0.22%
2018년 04월 20일,1.797,1.7934,1.8017,1.7913,0.25%
2018년 04월 19일,1.7925,1.7931,1.7978,1.7795,-0.02%
2018년 04월 18일,1.7929,1.7889,1.7948,1.7844,0.22%
2018년 04월 17일,1.7889,1.7958,1.7985,1.7876,-0.40%
2018년 04월 16일,1.796,1.7976,1.8081,1.7942,-0.11%
2018년 04월 13일,1.7979,1.7948,1.8032,1.79,0.18%
2018년 04월 12일,1.7947,1.7849,1.7988,1.7827,0.54%
2018년 04월 11일,1.785,1.7736,1.7881,1.773,0.64%
2018년 04월 10일,1.7736,1.7704,1.776,1.7608,0.18%
2018년 04월 09일,1.7704,1.7707,1.7738,1.7614,-0.01%
2018년 04월 06일,1.7706,1.7596,1.7744,1.7592,0.63%
2018년 04월 05일,1.7596,1.7554,1.7652,1.7539,0.23%
2018년 04월 04일,1.7556,1.7504,1.7695,1.7477,0.40%
2018년 04월 03일,1.7486,1.7466,1.7532,1.7423,0.11%
2018년 04월 02일,1.7466,1.7565,1.7606,1.7437,-0.61%
2018년 03월 30일,1.7573,1.7605,1.7664,1.7567,-0.18%
2018년 03월 29일,1.7604,1.7619,1.7692,1.7529,-0.10%
2018년 03월 28일,1.7622,1.7732,1.7741,1.7574,-0.62%
2018년 03월 27일,1.7732,1.7796,1.7815,1.767,-0.32%
2018년 03월 26일,1.7789,1.7825,1.786,1.7704,-0.15%
2018년 03월 23일,1.7816,1.775,1.786,1.7684,0.36%
2018년 03월 22일,1.7752,1.7631,1.7872,1.7625,0.73%
2018년 03월 21일,1.7624,1.7564,1.7744,1.7543,0.29%
2018년 03월 20일,1.7573,1.762,1.7632,1.7522,-0.25%
2018년 03월 19일,1.7617,1.7591,1.7647,1.7547,0.14%
2018년 03월 16일,1.7593,1.7667,1.7712,1.7551,-0.41%
2018년 03월 15일,1.7665,1.7702,1.7769,1.7595,-0.20%
2018년 03월 14일,1.7701,1.7691,1.7739,1.7604,0.05%
2018년 03월 13일,1.7692,1.7636,1.7715,1.7622,0.31%
2018년 03월 12일,1.7637,1.7694,1.7738,1.7609,-0.30%
2018년 03월 09일,1.769,1.7719,1.7728,1.7615,-0.16%
2018년 03월 08일,1.7718,1.7692,1.7804,1.7672,0.14%
2018년 03월 07일,1.7693,1.7727,1.7846,1.7687,-0.19%
2018년 03월 06일,1.7727,1.8013,1.8061,1.7698,-1.58%
2018년 03월 05일,1.8011,1.8033,1.8098,1.794,-0.12%
2018년 03월 02일,1.8033,1.8174,1.8205,1.8015,-0.77%
2018년 03월 01일,1.8173,1.8241,1.8284,1.814,-0.37%
2018년 02월 28일,1.8241,1.8255,1.8316,1.817,-0.13%
2018년 02월 27일,1.8264,1.8227,1.8294,1.8166,0.26%
2018년 02월 26일,1.8217,1.8229,1.8258,1.8099,-0.12%
2018년 02월 23일,1.8238,1.826,1.8289,1.8153,-0.06%
2018년 02월 22일,1.8249,1.8056,1.8264,1.8052,0.97%
2018년 02월 21일,1.8073,1.806,1.8115,1.8015,0.08%
2018년 02월 20일,1.8058,1.7961,1.8105,1.796,0.58%
2018년 02월 19일,1.7954,1.7979,1.8048,1.7925,-0.16%
2018년 02월 16일,1.7982,1.7917,1.8034,1.788,0.27%
2018년 02월 15일,1.7933,1.8045,1.8086,1.7915,-0.55%
2018년 02월 14일,1.8033,1.8137,1.8169,1.7985,-0.58%
2018년 02월 13일,1.8138,1.8102,1.8254,1.8068,0.19%
2018년 02월 12일,1.8103,1.793,1.8135,1.7885,0.84%
2018년 02월 09일,1.7953,1.8201,1.8216,1.7951,-1.34%
2018년 02월 08일,1.8197,1.8194,1.826,1.8095,0.01%
2018년 02월 07일,1.8195,1.802,1.8265,1.8011,0.96%
2018년 02월 06일,1.8022,1.8179,1.8251,1.8001,-0.79%
2018년 02월 05일,1.8166,1.8082,1.8172,1.7952,0.47%
2018년 02월 02일,1.8081,1.7906,1.8168,1.7894,0.92%
2018년 02월 01일,1.7916,1.7778,1.7992,1.7755,0.84%
2018년 01월 31일,1.7767,1.7683,1.7778,1.7551,0.46%
2018년 01월 30일,1.7686,1.7742,1.7807,1.7646,-0.33%
2018년 01월 29일,1.7744,1.7656,1.7774,1.762,0.46%
2018년 01월 26일,1.7662,1.7775,1.7844,1.7649,-0.64%
2018년 01월 25일,1.7775,1.7673,1.7794,1.7564,0.60%
2018년 01월 24일,1.7669,1.7611,1.7715,1.7468,0.30%
2018년 01월 23일,1.7617,1.7687,1.7805,1.76,-0.32%
2018년 01월 22일,1.7674,1.7549,1.7698,1.753,0.64%
2018년 01월 19일,1.7561,1.7692,1.7709,1.7507,-0.70%
2018년 01월 18일,1.7685,1.7586,1.7711,1.757,0.53%
2018년 01월 17일,1.7591,1.753,1.7719,1.75,0.30%
2018년 01월 16일,1.7538,1.7631,1.7709,1.7531,-0.53%
2018년 01월 15일,1.7631,1.7558,1.7777,1.7487,0.42%
2018년 01월 12일,1.7557,1.7599,1.767,1.752,-0.22%
2018년 01월 11일,1.7595,1.7588,1.7645,1.7475,0.06%
2018년 01월 10일,1.7584,1.7628,1.7655,1.7484,-0.29%
2018년 01월 09일,1.7636,1.7659,1.7692,1.7585,-0.07%
2018년 01월 08일,1.7649,1.7521,1.7688,1.7475,0.64%
2018년 01월 05일,1.7536,1.7532,1.7623,1.7485,0.00%
2018년 01월 04일,1.7536,1.7563,1.7692,1.7504,-0.05%
2018년 01월 03일,1.7544,1.7512,1.7667,1.7507,0.08%
2018년 01월 02일,1.753,1.7328,1.7551,1.7221,1.15%
2018년 01월 01일,1.7331,1.7345,1.7351,1.7315,-0.08%
2017년 12월 29일,1.7345,1.742,1.7437,1.7315,-0.36%
2017년 12월 28일,1.7408,1.7434,1.7478,1.7318,-0.19%
2017년 12월 27일,1.7442,1.7392,1.7484,1.734,0.34%
2017년 12월 26일,1.7383,1.7295,1.7395,1.7268,0.51%
2017년 12월 25일,1.7294,1.7307,1.735,1.7249,-0.12%
2017년 12월 22일,1.7315,1.7404,1.7425,1.7284,-0.52%
2017년 12월 21일,1.7406,1.7446,1.7506,1.7348,-0.16%
2017년 12월 20일,1.7434,1.7469,1.7517,1.7334,-0.31%
2017년 12월 19일,1.7488,1.7458,1.7547,1.7378,0.17%
2017년 12월 18일,1.7458,1.7099,1.7557,1.7054,2.08%
2017년 12월 15일,1.7102,1.7058,1.7168,1.7011,0.28%
2017년 12월 14일,1.7055,1.6778,1.7116,1.6775,1.64%
2017년 12월 13일,1.678,1.6708,1.6867,1.6668,0.43%
2017년 12월 12일,1.6708,1.6601,1.6771,1.6566,0.68%
2017년 12월 11일,1.6595,1.6675,1.6702,1.655,-0.45%
2017년 12월 08일,1.667,1.6688,1.6739,1.6643,-0.11%
2017년 12월 07일,1.6689,1.6712,1.6764,1.663,-0.21%
2017년 12월 06일,1.6724,1.664,1.6806,1.6616,0.49%
2017년 12월 05일,1.6642,1.6769,1.681,1.6616,-0.73%
2017년 12월 04일,1.6764,1.6724,1.684,1.6702,0.23%
2017년 12월 01일,1.6725,1.6812,1.6838,1.6631,-0.50%
2017년 11월 30일,1.6809,1.6792,1.6937,1.672,0.05%
2017년 11월 29일,1.68,1.6903,1.6942,1.6723,-0.61%
2017년 11월 28일,1.6903,1.7113,1.7115,1.6805,-1.23%
2017년 11월 27일,1.7113,1.712,1.7217,1.7038,-0.05%
2017년 11월 24일,1.7121,1.7072,1.7175,1.7058,0.31%
2017년 11월 23일,1.7068,1.7152,1.7236,1.7045,-0.45%
2017년 11월 22일,1.7145,1.7192,1.725,1.7104,-0.30%
2017년 11월 21일,1.7196,1.724,1.7299,1.705,-0.21%
2017년 11월 20일,1.7232,1.7449,1.7575,1.7145,-1.33%
2017년 11월 17일,1.7465,1.7409,1.7498,1.7349,0.33%
2017년 11월 16일,1.7408,1.7463,1.7502,1.7287,-0.33%
2017년 11월 15일,1.7466,1.766,1.7692,1.7414,-1.08%
2017년 11월 14일,1.7657,1.7813,1.7828,1.7626,-0.79%
2017년 11월 13일,1.7797,1.7719,1.7811,1.7659,0.29%
2017년 11월 10일,1.7745,1.7749,1.7797,1.7698,0.05%
2017년 11월 09일,1.7737,1.765,1.7797,1.7624,0.55%
2017년 11월 08일,1.764,1.7546,1.7666,1.7536,0.47%
2017년 11월 07일,1.7557,1.7579,1.7616,1.7497,-0.13%
2017년 11월 06일,1.7579,1.7599,1.7662,1.7528,-0.08%
2017년 11월 03일,1.7593,1.7683,1.7762,1.7547,-0.52%
2017년 11월 02일,1.7685,1.7497,1.7744,1.7472,1.08%
2017년 11월 01일,1.7496,1.7563,1.7587,1.7451,-0.43%
2017년 10월 31일,1.7572,1.7603,1.7609,1.7477,-0.13%
2017년 10월 30일,1.7594,1.7709,1.7763,1.7576,-0.71%
2017년 10월 27일,1.772,1.7777,1.784,1.7712,-0.33%
2017년 10월 26일,1.7779,1.7917,1.7932,1.7738,-0.75%
2017년 10월 25일,1.7914,1.7885,1.7953,1.7751,0.20%
2017년 10월 24일,1.7879,1.785,1.7905,1.7794,0.16%
2017년 10월 23일,1.785,1.801,1.8066,1.7849,-0.91%
2017년 10월 20일,1.8014,1.8056,1.8142,1.7967,-0.20%
2017년 10월 19일,1.805,1.8117,1.8148,1.804,-0.39%
2017년 10월 18일,1.812,1.8194,1.8214,1.8038,-0.42%
2017년 10월 17일,1.8196,1.8217,1.8306,1.8133,-0.14%
