"날짜","종가","오픈","고가","저가","변동 %"
"2019년 03월 12일","35.654","35.736","35.792","35.585","-0.23%"
"2019년 03월 11일","35.736","35.742","35.883","35.681","0.03%"
"2019년 03월 08일","35.725","35.621","35.848","35.529","0.29%"
"2019년 03월 07일","35.621","35.428","35.656","35.322","0.54%"
"2019년 03월 06일","35.428","35.458","35.529","35.361","-0.09%"
"2019년 03월 05일","35.459","35.357","35.531","35.248","0.27%"
"2019년 03월 04일","35.362","35.486","35.527","35.305","-0.20%"
"2019년 03월 01일","35.434","35.648","35.696","35.395","-0.61%"
"2019년 02월 28일","35.652","35.576","35.731","35.508","0.24%"
"2019년 02월 27일","35.567","35.653","35.755","35.512","-0.24%"
"2019년 02월 26일","35.654","35.680","35.821","35.578","-0.07%"
"2019년 02월 25일","35.680","35.866","35.921","35.653","-0.49%"
"2019년 02월 22일","35.855","36.066","36.133","35.780","-0.57%"
"2019년 02월 21일","36.061","36.116","36.237","36.015","-0.17%"
"2019년 02월 20일","36.122","36.078","36.215","36.011","0.14%"
"2019년 02월 19일","36.072","36.081","36.177","36.008","-0.05%"
"2019년 02월 18일","36.091","36.023","36.129","35.991","0.19%"
"2019년 02월 15일","36.023","35.953","36.156","35.925","0.19%"
"2019년 02월 14일","35.953","35.836","36.086","35.786","0.31%"
"2019년 02월 13일","35.841","35.830","36.061","35.802","0.05%"
"2019년 02월 12일","35.824","35.803","35.948","35.778","0.06%"
"2019년 02월 11일","35.803","35.712","35.945","35.656","0.26%"
"2019년 02월 08일","35.710","36.005","36.085","35.511","-0.82%"
"2019년 02월 07일","36.005","35.877","36.069","35.857","0.33%"
"2019년 02월 06일","35.886","35.762","35.946","35.739","0.37%"
"2019년 02월 05일","35.753","35.790","35.917","35.698","-0.10%"
"2019년 02월 04일","35.790","35.762","35.852","35.687","0.11%"
"2019년 02월 01일","35.752","35.642","35.832","35.554","0.31%"
"2019년 01월 31일","35.642","35.531","35.697","35.468","0.30%"
"2019년 01월 30일","35.536","35.555","35.715","35.441","-0.05%"
"2019년 01월 29일","35.554","35.492","35.609","35.343","0.19%"
