"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 09월 13일","60.22","60.45","60.81","59.60","195.83K","-0.26%"
"2019년 09월 12일","60.38","61.16","61.39","58.92","358.09K","-0.71%"
"2019년 09월 11일","60.81","62.88","63.27","60.52","315.12K","-2.52%"
"2019년 09월 10일","62.38","62.82","63.78","62.17","267.55K","-0.34%"
"2019년 09월 09일","62.59","61.60","63.00","61.57","249.71K","1.71%"
"2019년 09월 06일","61.54","60.81","61.88","59.40","287.36K","0.97%"
"2019년 09월 05일","60.95","60.49","62.40","60.25","292.06K","0.41%"
"2019년 09월 04일","60.70","58.17","60.96","58.13","283.10K","4.19%"
"2019년 09월 03일","58.26","58.54","58.87","57.23","265.12K","-0.68%"
"2019년 09월 02일","58.66","58.80","59.26","58.10","121.64K","-2.93%"
"2019년 08월 30일","60.43","60.98","61.17","60.25","25.14K","-1.06%"
"2019년 08월 29일","61.08","60.48","61.19","59.98","131.09K","0.98%"
"2019년 08월 28일","60.49","60.04","61.00","59.80","134.26K","1.65%"
"2019년 08월 27일","59.51","58.80","60.17","58.51","218.37K","1.38%"
"2019년 08월 26일","58.70","58.35","60.17","58.24","183.30K","-1.08%"
"2019년 08월 23일","59.34","60.11","60.29","58.30","321.24K","-0.97%"
"2019년 08월 22일","59.92","60.43","60.89","59.47","276.11K","-0.63%"
"2019년 08월 21일","60.30","60.11","61.41","60.07","269.68K","0.45%"
"2019년 08월 20일","60.03","59.68","60.32","58.95","245.25K","0.49%"
"2019년 08월 19일","59.74","58.72","59.92","58.64","211.45K","1.88%"
"2019년 08월 16일","58.64","58.41","59.50","58.28","209.43K","0.70%"
"2019년 08월 15일","58.23","59.07","59.42","57.67","298.67K","-2.10%"
"2019년 08월 14일","59.48","61.07","61.08","58.21","320.43K","-2.97%"
"2019년 08월 13일","61.30","58.47","61.50","58.00","338.08K","4.66%"
"2019년 08월 12일","58.57","58.30","58.88","57.88","221.35K","0.07%"
"2019년 08월 09일","58.53","57.74","59.10","57.11","281.80K","2.00%"
"2019년 08월 08일","57.38","57.48","58.01","56.77","299.69K","2.05%"
"2019년 08월 07일","56.23","58.68","59.23","55.88","485.19K","-4.60%"
"2019년 08월 06일","58.94","59.56","60.56","58.55","328.15K","-1.45%"
"2019년 08월 05일","59.81","61.46","61.56","59.66","378.86K","-3.36%"
"2019년 08월 02일","61.89","61.16","62.95","60.98","364.14K","2.30%"
"2019년 08월 01일","60.50","64.09","64.54","60.02","433.72K","-7.17%"
"2019년 07월 31일","65.17","64.95","65.42","64.95","18.76K","0.70%"
"2019년 07월 30일","64.72","63.91","65.14","63.90","86.10K","1.59%"
"2019년 07월 29일","63.71","63.32","63.90","62.92","101.70K","0.39%"
"2019년 07월 26일","63.46","63.28","63.96","63.01","159.86K","0.11%"
"2019년 07월 25일","63.39","63.21","64.23","63.01","169.84K","0.33%"
"2019년 07월 24일","63.18","64.13","64.66","62.59","301.51K","-1.02%"
"2019년 07월 23일","63.83","63.26","64.46","62.66","272.73K","0.90%"
"2019년 07월 22일","63.26","63.05","64.03","62.77","267.78K","1.26%"
"2019년 07월 19일","62.47","62.50","63.37","61.83","298.98K","0.87%"
"2019년 07월 18일","61.93","63.52","64.46","61.29","374.89K","-2.72%"
"2019년 07월 17일","63.66","64.44","65.28","63.22","274.93K","-1.07%"
"2019년 07월 16일","64.35","66.31","67.09","63.82","356.74K","-3.20%"
"2019년 07월 15일","66.48","66.87","67.47","66.11","283.09K","-0.36%"
"2019년 07월 12일","66.72","66.83","67.29","66.51","244.70K","0.30%"
"2019년 07월 11일","66.52","66.81","67.65","66.43","283.02K","-0.73%"
"2019년 07월 10일","67.01","64.78","67.12","64.63","349.51K","4.44%"
"2019년 07월 09일","64.16","63.81","64.75","63.76","263.89K","0.08%"
"2019년 07월 08일","64.11","64.34","65.14","63.79","253.82K","-0.19%"
"2019년 07월 05일","64.23","63.27","64.52","62.91","203.54K","1.47%"
"2019년 07월 04일","63.30","63.88","64.07","62.95","114.98K","-0.81%"
"2019년 07월 03일","63.82","62.90","64.01","62.09","281.75K","2.28%"
"2019년 07월 02일","62.40","64.80","65.51","62.22","386.94K","-4.09%"
"2019년 07월 01일","65.06","65.05","66.75","64.22","361.41K","-2.24%"
"2019년 06월 28일","66.55","66.51","66.84","66.08","34.62K","0.00%"
"2019년 06월 27일","66.55","66.05","66.82","65.63","103.16K","0.09%"
"2019년 06월 26일","66.49","65.80","66.85","65.60","141.95K","2.21%"
"2019년 06월 25일","65.05","64.89","65.98","64.17","205.80K","0.29%"
"2019년 06월 24일","64.86","65.50","65.79","64.08","217.44K","-0.52%"
"2019년 06월 21일","65.20","64.86","65.76","64.00","257.92K","1.16%"
"2019년 06월 20일","64.45","62.45","64.82","62.40","394.17K","4.25%"
"2019년 06월 19일","61.82","62.40","62.55","61.40","320.06K","-0.51%"
"2019년 06월 18일","62.14","60.93","62.84","60.25","327.70K","1.97%"
"2019년 06월 17일","60.94","62.07","62.37","60.74","236.16K","-1.73%"
"2019년 06월 14일","62.01","61.25","62.57","60.74","262.31K","1.14%"
"2019년 06월 13일","61.31","59.94","62.64","59.78","435.42K","2.23%"
"2019년 06월 12일","59.97","61.79","61.85","59.57","343.21K","-3.72%"
"2019년 06월 11일","62.29","62.30","62.87","62.01","302.74K","0.00%"
"2019년 06월 10일","62.29","63.58","64.10","62.05","278.49K","-1.58%"
"2019년 06월 07일","63.29","62.40","63.59","61.77","307.96K","2.63%"
"2019년 06월 06일","61.67","60.40","62.43","60.22","343.64K","1.72%"
"2019년 06월 05일","60.63","61.58","62.27","59.45","428.01K","-2.16%"
"2019년 06월 04일","61.97","61.00","62.12","60.21","370.27K","1.13%"
"2019년 06월 03일","61.28","61.64","62.84","60.55","386.56K","-4.98%"
"2019년 05월 31일","64.49","66.24","66.28","64.37","21.75K","-3.56%"
"2019년 05월 30일","66.87","69.68","69.96","66.31","105.27K","-3.71%"
"2019년 05월 29일","69.45","70.10","70.10","68.08","148.48K","-0.94%"
"2019년 05월 28일","70.11","69.99","70.59","69.58","238.88K","0.00%"
"2019년 05월 27일","70.11","69.15","70.23","68.53","72.18K","2.07%"
"2019년 05월 24일","68.69","67.99","69.30","67.33","292.09K","1.37%"
"2019년 05월 23일","67.76","70.86","70.97","67.02","434.54K","-4.55%"
"2019년 05월 22일","70.99","71.91","72.04","70.42","371.52K","-1.65%"
"2019년 05월 21일","72.18","72.15","72.52","71.63","303.74K","0.29%"
"2019년 05월 20일","71.97","72.50","73.40","71.60","301.98K","-0.33%"
"2019년 05월 17일","72.21","72.82","73.23","71.79","255.53K","-0.56%"
"2019년 05월 16일","72.62","72.05","73.36","71.82","326.44K","1.18%"
"2019년 05월 15일","71.77","70.90","72.25","70.42","272.44K","0.74%"
"2019년 05월 14일","71.24","70.02","71.65","69.93","299.77K","1.44%"
"2019년 05월 13일","70.23","70.83","72.58","69.72","373.47K","-0.55%"
"2019년 05월 10일","70.62","70.45","71.23","70.18","300.46K","0.33%"
"2019년 05월 09일","70.39","70.23","70.65","69.40","328.74K","0.03%"
"2019년 05월 08일","70.37","69.88","70.70","69.33","295.44K","0.70%"
"2019년 05월 07일","69.88","71.15","71.33","69.38","332.07K","-1.91%"
"2019년 05월 06일","71.24","70.59","71.79","68.79","227.02K","0.55%"
"2019년 05월 03일","70.85","70.48","71.54","69.95","249.81K","0.14%"
"2019년 05월 02일","70.75","72.00","72.22","69.68","346.63K","-1.98%"
"2019년 05월 01일","72.18","71.73","72.36","71.30","230.80K","-0.85%"
"2019년 04월 30일","72.80","71.94","73.27","71.73","25.34K","1.05%"
"2019년 04월 29일","72.04","71.56","72.50","71.06","147.41K","-0.15%"
"2019년 04월 26일","72.15","74.20","74.42","71.30","222.89K","-2.96%"
"2019년 04월 25일","74.35","74.46","75.60","74.00","309.21K","-0.30%"
"2019년 04월 24일","74.57","74.27","74.73","74.02","276.67K","0.08%"
"2019년 04월 23일","74.51","74.38","74.73","73.99","308.99K","0.63%"
"2019년 04월 22일","74.04","71.93","74.52","71.86","305.17K","2.88%"
"2019년 04월 18일","71.97","71.63","72.04","71.20","259.04K","0.49%"
"2019년 04월 17일","71.62","71.83","72.27","71.45","276.61K","-0.14%"
"2019년 04월 16일","71.72","71.21","71.95","70.74","273.90K","0.76%"
"2019년 04월 15일","71.18","71.55","71.60","70.78","219.15K","-0.52%"
"2019년 04월 12일","71.55","70.95","71.87","70.90","237.22K","1.02%"
"2019년 04월 11일","70.83","71.56","71.68","70.57","278.09K","-1.25%"
"2019년 04월 10일","71.73","70.82","71.78","70.57","288.89K","1.59%"
"2019년 04월 09일","70.61","71.19","71.34","70.30","267.49K","-0.69%"
"2019년 04월 08일","71.10","70.56","71.19","70.43","288.13K","1.08%"
"2019년 04월 05일","70.34","69.13","70.48","68.92","263.87K","1.35%"
"2019년 04월 04일","69.40","69.44","70.03","68.87","281.88K","0.13%"
"2019년 04월 03일","69.31","69.47","69.96","68.80","341.50K","-0.09%"
"2019년 04월 02일","69.37","69.22","69.58","68.69","299.30K","0.52%"
"2019년 04월 01일","69.01","67.58","69.22","67.58","320.77K","0.91%"
"2019년 03월 29일","68.39","68.01","68.89","67.81","20.62K","0.84%"
"2019년 03월 28일","67.82","67.75","68.00","66.54","131.64K","-0.01%"
"2019년 03월 27일","67.83","67.90","68.35","67.19","148.15K","-0.21%"
"2019년 03월 26일","67.97","67.36","68.23","67.24","197.54K","1.13%"
"2019년 03월 25일","67.21","67.00","67.65","66.36","216.76K","0.27%"
"2019년 03월 22일","67.03","67.76","67.98","66.20","284.52K","-1.22%"
"2019년 03월 21일","67.86","68.38","68.69","67.59","303.23K","-0.93%"
"2019년 03월 20일","68.50","67.66","68.57","67.19","235.49K","1.32%"
"2019년 03월 19일","67.61","67.49","68.20","67.13","234.14K","0.10%"
"2019년 03월 18일","67.54","67.14","67.69","66.69","208.53K","0.57%"
"2019년 03월 15일","67.16","67.18","67.71","66.13","254.32K","-0.10%"
"2019년 03월 14일","67.23","67.65","68.14","67.03","235.99K","-0.47%"
"2019년 03월 13일","67.55","66.91","67.76","66.70","243.20K","1.32%"
"2019년 03월 12일","66.67","66.70","67.39","66.34","252.13K","0.14%"
"2019년 03월 11일","66.58","65.76","66.75","65.63","247.81K","1.28%"
"2019년 03월 08일","65.74","66.08","66.09","64.02","316.39K","-0.84%"
"2019년 03월 07일","66.30","65.88","67.00","65.75","276.24K","0.47%"
"2019년 03월 06일","65.99","65.49","66.18","65.22","283.20K","0.20%"
"2019년 03월 05일","65.86","65.46","66.23","65.04","216.39K","0.29%"
"2019년 03월 04일","65.67","64.97","66.34","64.93","233.54K","0.92%"
"2019년 03월 01일","65.07","66.48","67.14","64.59","297.19K","-1.45%"
"2019년 02월 28일","66.03","66.38","66.38","65.67","19.67K","-0.54%"
"2019년 02월 27일","66.39","65.64","66.70","65.27","102.14K","1.81%"
"2019년 02월 26일","65.21","64.79","65.74","64.32","127.60K","0.69%"
"2019년 02월 25일","64.76","66.97","67.47","64.54","220.94K","-3.52%"
"2019년 02월 22일","67.12","66.96","67.73","66.87","177.62K","0.07%"
"2019년 02월 21일","67.07","67.05","67.31","66.69","245.86K","-0.01%"
"2019년 02월 20일","67.08","66.30","67.38","65.63","276.48K","0.95%"
"2019년 02월 19일","66.45","66.44","66.65","65.58","246.65K","-0.08%"
"2019년 02월 18일","66.50","66.39","66.83","65.90","175.24K","0.38%"
"2019년 02월 15일","66.25","64.86","66.39","64.42","294.49K","2.60%"
"2019년 02월 14일","64.57","63.69","64.81","63.25","287.45K","1.51%"
"2019년 02월 13일","63.61","62.70","63.98","62.69","269.68K","1.91%"
"2019년 02월 12일","62.42","61.59","63.34","61.59","278.80K","1.48%"
"2019년 02월 11일","61.51","62.11","62.34","60.90","280.96K","-0.95%"
"2019년 02월 08일","62.10","61.66","62.36","61.04","254.95K","0.76%"
"2019년 02월 07일","61.63","62.50","62.91","60.60","286.17K","-1.69%"
"2019년 02월 06일","62.69","62.06","62.80","61.05","225.57K","1.15%"
"2019년 02월 05일","61.98","62.64","63.02","61.72","215.36K","-0.85%"
"2019년 02월 04일","62.51","62.83","63.63","61.28","297.43K","-0.38%"
"2019년 02월 01일","62.75","61.06","62.97","60.46","267.22K","1.39%"
"2019년 01월 31일","61.89","61.97","62.32","61.57","20.63K","0.39%"
"2019년 01월 30일","61.65","61.26","62.67","61.04","90.93K","0.54%"
"2019년 01월 29일","61.32","59.87","61.79","59.75","142.13K","2.32%"
"2019년 01월 28일","59.93","61.49","61.69","59.49","214.19K","-2.77%"
"2019년 01월 25일","61.64","61.13","61.92","60.70","218.03K","0.90%"
"2019년 01월 24일","61.09","61.02","61.51","60.41","274.48K","-0.08%"
"2019년 01월 23일","61.14","61.37","62.33","60.21","308.46K","-0.59%"
"2019년 01월 22일","61.50","62.59","62.71","60.57","283.22K","-1.98%"
"2019년 01월 21일","62.74","62.74","63.15","62.25","138.08K","0.06%"
"2019년 01월 18일","62.70","61.33","63.00","61.32","288.91K","2.48%"
"2019년 01월 17일","61.18","61.05","61.54","60.04","278.42K","-0.23%"
"2019년 01월 16일","61.32","60.42","61.45","60.03","315.59K","1.12%"
"2019년 01월 15일","60.64","59.36","60.86","59.11","234.36K","2.80%"
"2019년 01월 14일","58.99","60.62","61.04","58.90","263.28K","-2.46%"
"2019년 01월 11일","60.48","61.19","62.49","60.08","292.79K","-1.95%"
"2019년 01월 10일","61.68","61.15","61.91","60.44","300.92K","0.39%"
"2019년 01월 09일","61.44","59.15","61.69","59.05","329.05K","4.63%"
"2019년 01월 08일","58.72","57.64","58.87","57.13","288.25K","2.42%"
"2019년 01월 07일","57.33","57.41","58.93","57.26","296.58K","0.47%"
