year,week,rain,wind,temperature,CTRY_1
2018,15,5.327586206896552,1.793103448275862,26.834482758620688,태국
2018,16,11.467948717948717,1.8333333333333333,25.08076923076923,태국
2018,17,14.005,1.45,25.943125,태국
2018,18,11.426589595375722,1.0115606936416186,26.237572254335255,태국
2018,19,6.066666666666667,1.2626262626262625,26.87171717171717,태국
2018,20,10.106481481481486,1.4722222222222223,26.62129629629629,태국
2018,21,8.814606741573037,1.2640449438202248,26.48426966292134,태국
2018,22,7.161875000000004,1.075,26.643749999999994,태국
2018,23,10.766336633663363,1.6683168316831682,27.27772277227723,태국
2018,24,9.142105263157896,2.3842105263157896,27.372105263157902,태국
2018,25,9.798013245033113,2.0728476821192054,27.071523178807944,태국
2018,26,12.178531073446328,1.03954802259887,26.022598870056502,태국
2018,27,6.647878787878787,2.0303030303030303,26.988484848484845,태국
2018,28,7.2824074074074066,2.175925925925926,26.992129629629627,태국
2018,29,6.641198501872659,2.48689138576779,27.183146067415727,태국
2018,30,5.552036199095017,1.8144796380090498,27.001357466063347,태국
2018,31,6.973053892215572,1.9341317365269461,26.60119760479042,태국
2018,32,6.622115384615383,2.0865384615384617,26.611057692307725,태국
2018,33,8.612663755458517,2.410480349344978,26.924454148471618,태국
2018,34,8.7088122605364,1.9157088122605364,26.612643678160932,태국
2018,35,6.514136125654449,1.4659685863874345,26.223560209424086,태국
2018,36,8.829569892473119,1.6720430107526882,26.325806451612895,태국
2018,37,10.607142857142858,2.033333333333333,26.623333333333356,태국
2018,38,7.417482517482516,1.4825174825174825,26.240559440559448,태국
2018,39,7.982258064516129,0.9596774193548387,26.968548387096778,태국
2018,40,18.19473684210526,1.2828947368421053,25.924342105263154,태국
2018,41,7.908823529411765,1.0,26.132352941176475,태국
2018,42,8.884962406015038,1.1954887218045114,26.281954887218053,태국
2018,43,10.181896551724138,1.0862068965517242,26.111206896551714,태국
2018,45,15.590196078431372,1.4411764705882353,25.754901960784313,태국
2018,46,6.793749999999998,0.975,26.099999999999994,태국
2018,47,3.358,1.52,26.18,태국
2018,49,8.024742268041235,1.7525773195876289,25.569072164948462,태국
2018,50,8.895061728395062,2.246913580246914,25.313580246913574,태국
2018,44,11.745454545454544,2.6363636363636362,26.66136363636364,태국
2018,51,9.81891891891892,2.1621621621621623,26.23513513513514,태국
2018,4,6.976785714285714,1.3392857142857142,26.082142857142852,태국
2018,5,16.36078431372549,3.3529411764705883,25.339215686274514,태국
2018,48,4.3632653061224485,2.061224489795918,25.148979591836735,태국
2018,7,0.3833333333333333,1.3333333333333333,25.433333333333334,태국
2018,3,2.1444444444444444,1.7777777777777777,25.629629629629626,태국
2018,6,1.6000000000000003,2.3333333333333335,24.766666666666666,태국
2018,52,0.8,0.625,25.474999999999998,태국
2017,52,3.6396226415094324,2.2452830188679247,21.45283018867925,베트남
2018,1,2.0411111111111113,1.1333333333333333,20.72222222222223,베트남
2018,2,2.718181818181818,1.9696969696969697,19.827272727272724,베트남
2018,3,8.129787234042555,1.6170212765957446,22.821276595744685,베트남
2018,4,4.509183673469387,1.6938775510204083,22.6,베트남
2018,5,2.201960784313726,1.9019607843137254,19.08039215686274,베트남
2018,6,1.4083333333333332,1.9166666666666667,17.508333333333333,베트남
2018,7,2.6186046511627907,1.2325581395348837,21.551162790697678,베트남
2018,8,2.62112676056338,1.267605633802817,20.763380281690143,베트남
2018,9,2.8630434782608694,1.565217391304348,23.51521739130435,베트남
2018,10,2.2318181818181806,2.159090909090909,22.813636363636363,베트남
2018,11,7.401612903225806,1.532258064516129,24.301612903225795,베트남
2018,12,13.327450980392157,1.6470588235294117,23.452941176470592,베트남
2018,13,8.160526315789474,1.736842105263158,25.428947368421053,베트남
2018,14,5.4959183673469365,2.9591836734693877,24.012244897959178,베트남
2018,15,8.996666666666666,1.3666666666666667,23.279999999999998,베트남
2018,16,7.163888888888888,1.3611111111111112,24.911111111111108,베트남
2018,17,2.2459016393442623,1.4754098360655739,26.449180327868845,베트남
