exchange,year,week,CTRY_2
0.1462,2017,26,중국
0.147,2017,27,중국
0.147,2017,28,중국
0.1477,2017,29,중국
0.1482,2017,30,중국
0.1487,2017,31,중국
0.1488,2017,32,중국
0.1499,2017,33,중국
0.15,2017,34,중국
0.1513,2017,35,중국
0.1531,2017,36,중국
0.1531,2017,37,중국
0.1521,2017,38,중국
0.151,2017,39,중국
0.1503,2017,40,중국
0.151,2017,41,중국
0.1517,2017,42,중국
0.1506,2017,43,중국
0.1505,2017,44,중국
0.1507,2017,45,중국
0.1505,2017,46,중국
0.1507,2017,47,중국
0.1516,2017,48,중국
0.151,2017,49,중국
0.1511,2017,50,중국
0.1512,2017,51,중국
0.153,2017,52,중국
0.1537,2018,1,중국
0.1538,2018,2,중국
0.1553,2018,3,중국
0.1562,2018,4,중국
0.1578,2018,5,중국
0.159,2018,6,중국
0.158,2018,7,중국
0.1575,2018,8,중국
0.1583,2018,9,중국
0.1575,2018,10,중국
0.158,2018,11,중국
0.1579,2018,12,중국
0.1594,2018,13,중국
0.1593,2018,14,중국
0.1585,2018,15,중국
0.1593,2018,16,중국
0.1583,2018,17,중국
0.1579,2018,18,중국
0.157,2018,19,중국
0.1578,2018,20,중국
0.1567,2018,21,중국
0.1562,2018,22,중국
0.156,2018,23,중국
0.1562,2018,24,중국
0.1553,2018,25,중국
0.1529,2018,26,중국
0.15,2018,27,중국
0.1512,2018,28,중국
0.1495,2018,29,중국
0.1472,2018,30,중국
0.1467,2018,31,중국
0.1459,2018,32,중국
0.1451,2018,33,중국
0.1459,2018,34,중국
0.1467,2018,35,중국
0.1466,2018,36,중국
0.1459,2018,37,중국
0.1459,2018,38,중국
0.1459,2018,39,중국
0.1456,2018,40,중국
0.1442,2018,41,중국
0.1446,2018,42,중국
0.1439,2018,43,중국
0.1436,2018,44,중국
0.1444,2018,45,중국
0.1436,2018,46,중국
0.1441,2018,47,중국
0.1441,2018,48,중국
0.1453,2018,49,중국
0.1447,2018,50,중국
0.145,2018,51,중국
0.1449,2018,52,중국
0.1454,2019,1,중국
0.1459,2019,2,중국
0.1477,2019,3,중국
0.1471,2019,4,중국
0.1482,2019,5,중국
0.1482,2019,6,중국
0.1472,2019,7,중국
0.1478,2019,8,중국
0.1494,2019,9,중국
0.149,2019,10,중국
0.1486,2019,11,중국
0.1489,2019,12,중국
0.149,2019,13,중국
0.149,2019,14,중국
0.1489,2019,15,중국
0.149,2019,16,중국
0.149,2019,17,중국
0.1485,2019,18,중국
0.1477,2019,19,중국
0.1453,2019,20,중국
0.1446,2019,21,중국
0.145,2019,22,중국
0.1448,2019,23,중국
0.1443,2019,24,중국
0.1444,2019,25,중국
0.1453,2019,26,중국
0.1459,2019,27,중국
0.1453,2019,28,중국
0.1454,2019,29,중국
0.1453,2019,30,중국
0.1451,2019,31,중국
0.1417,2019,32,중국
