"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 09월 18일","61.13","61.13","61.13","61.13","-","-0.31%"
"2019년 09월 17일","61.32","61.32","61.32","61.32","-","-2.85%"
"2019년 09월 16일","63.12","63.12","63.12","63.12","-","7.75%"
"2019년 09월 13일","58.58","58.58","58.58","58.58","-","-0.10%"
"2019년 09월 12일","58.64","58.64","58.64","58.64","-","-0.15%"
"2019년 09월 11일","58.73","58.73","58.73","58.73","-","-1.71%"
"2019년 09월 10일","59.75","59.75","59.75","59.75","-","-0.52%"
"2019년 09월 09일","60.06","60.06","60.06","60.06","-","1.28%"
"2019년 09월 06일","59.30","59.30","59.30","59.30","-","1.13%"
"2019년 09월 05일","58.64","58.64","58.64","58.64","-","0.07%"
"2019년 09월 04일","58.60","58.60","58.60","58.60","-","3.37%"
"2019년 09월 03일","56.69","56.69","56.69","56.69","-","-4.09%"
"2019년 08월 30일","59.11","59.11","59.11","59.11","-","0.03%"
"2019년 08월 29일","59.09","59.09","59.09","59.09","-","-0.03%"
"2019년 08월 28일","59.11","59.11","59.11","59.11","-","0.22%"
"2019년 08월 27일","58.98","58.98","58.98","58.98","-","0.19%"
"2019년 08월 26일","58.87","58.87","58.87","58.87","-","-0.32%"
"2019년 08월 23일","59.06","59.06","59.06","59.06","-","-0.35%"
"2019년 08월 22일","59.27","59.27","59.27","59.27","-","-0.05%"
"2019년 08월 21일","59.30","59.30","59.30","59.30","-","0.30%"
"2019년 08월 20일","59.12","59.12","59.12","59.12","-","0.32%"
"2019년 08월 19일","58.93","58.93","58.93","58.93","-","0.99%"
"2019년 08월 16일","58.35","58.35","58.35","58.35","-","0.45%"
"2019년 08월 15일","58.09","58.09","58.09","58.09","-","-1.06%"
"2019년 08월 14일","58.71","58.71","58.71","58.71","-","-2.20%"
"2019년 08월 13일","60.03","60.03","60.03","60.03","-","2.88%"
"2019년 08월 12일","58.35","58.35","58.35","58.35","-","0.07%"
"2019년 08월 09일","58.31","58.31","58.31","58.31","-","1.46%"
"2019년 08월 08일","57.47","57.47","57.47","57.47","-","1.90%"
"2019년 08월 07일","56.40","56.40","56.40","56.40","-","-3.21%"
"2019년 08월 06일","58.27","58.27","58.27","58.27","-","-1.00%"
"2019년 08월 05일","58.86","58.86","58.86","58.86","-","-2.81%"
"2019년 08월 02일","60.56","60.56","60.56","60.56","-","1.95%"
"2019년 08월 01일","59.40","59.40","59.40","59.40","-","-6.09%"
